
AdaoJr@DESKTOP-SE8MSQK MINGW64 ~/Projetos Pessoais/Time-Perfeito-LOL-Bugadao (main)
$ node local/scrape/gen-targets.mjs
versão DDragon: 16.14.1
alvos: 273 | tiers: S,A,B,C,D

AdaoJr@DESKTOP-SE8MSQK MINGW64 ~/Projetos Pessoais/Time-Perfeito-LOL-Bugadao (main)
$ node local/scrape/fetch-builds.mjs
vai baixar 273 build(s)…

OK   Mordekaiser|TOP  wr:56.38 core:2 sit:5 skill:QEW
OK   Warwick|TOP  wr:59.42 core:2 sit:5 skill:WEQ
OK   Kayle|TOP  wr:57.99 core:2 sit:5 skill:QEW
OK   Quinn|TOP  wr:57.42 core:2 sit:5 skill:EQW
OK   Singed|TOP  wr:56.86 core:2 sit:5 skill:QEW
OK   Teemo|TOP  wr:57.47 core:2 sit:5 skill:EWQ
OK   Tryndamere|TOP  wr:55.96 core:2 sit:5 skill:QEW
OK   Garen|TOP  wr:57.48 core:2 sit:4 skill:EQW
OK   Malphite|TOP  wr:57.61 core:2 sit:4 skill:QWE
OK   Urgot|TOP  wr:57.11 core:2 sit:5 skill:WQE
OK   Kled|TOP  wr:57.45 core:2 sit:4 skill:QWE
OK   Shen|TOP  wr:58.27 core:2 sit:6 skill:QEW
OK   Poppy|TOP  wr:58.27 core:2 sit:4 skill:QWE
OK   Illaoi|TOP  wr:54.88 core:2 sit:5 skill:QEW
OK   Anivia|TOP  wr:57.3 core:2 sit:6 skill:EQW
OK   Heimerdinger|TOP  wr:56.66 core:2 sit:4 skill:WQE
OK   Olaf|TOP  wr:56.95 core:2 sit:5 skill:EQW
OK   Gangplank|TOP  wr:58.01 core:2 sit:4 skill:QEW
OK   Ornn|TOP  wr:57.45 core:2 sit:4 skill:WEQ
OK   Sett|TOP  wr:58.56 core:2 sit:4 skill:QWE
OK   Riven|TOP  wr:59.14 core:2 sit:6 skill:QWE
OK   Cassiopeia|TOP  wr:58.8 core:2 sit:6 skill:EQW
OK   Wukong|TOP  wr:60.39 core:2 sit:6 skill:EQW
OK   Fiora|TOP  wr:58.68 core:2 sit:4 skill:QEW
OK   Irelia|TOP  wr:58.39 core:2 sit:5 skill:QWE
OK   Nasus|TOP  wr:57.16 core:2 sit:6 skill:QWE
OK   Pantheon|TOP  wr:56.01 core:2 sit:6 skill:QWE
OK   Tahm Kench|TOP  wr:58.87 core:2 sit:5 skill:QWE
OK   Dr. Mundo|TOP  wr:59.02 core:2 sit:4 skill:EQW
OK   Yorick|TOP  wr:55.89 core:2 sit:6 skill:QWE
OK   Zaahen|TOP  wr:57.47 core:2 sit:5 skill:QEW
OK   Aatrox|TOP  wr:55.36 core:2 sit:5 skill:QEW
OK   Cho'Gath|TOP  wr:55.65 core:2 sit:3 skill:EWQ
OK   Darius|TOP  wr:58.29 core:2 sit:4 skill:QEW
OK   Jax|TOP  wr:55.61 core:2 sit:6 skill:WEQ
OK   Yone|TOP  wr:56.96 core:2 sit:5 skill:QEW
OK   Camille|TOP  wr:61.3 core:3 sit:3 skill:QEW
OK   Akali|TOP  wr:54.73 core:2 sit:4 skill:QEW
OK   Locke|TOP  wr:73.35 core:2 sit:5 skill:QWE
OK   Gragas|TOP  wr:54.77 core:2 sit:5 skill:QEW
OK   Renekton|TOP  wr:55.47 core:2 sit:5 skill:WQE
