# patch: 26.14 | atualizado: 2026-07-26 | fonte: mobatrainer.com
champion,role,tier,winrate,pickrate,banrate
Mordekaiser,TOP,S,54.5,9.5,11.4
Warwick,TOP,S,54,1.5,1.8
Kayle,TOP,S,54,2.2,1.9
Quinn,TOP,S,54.1,0.8,0.9
Singed,TOP,S,53.7,2.8,1
Teemo,TOP,S,53.3,3.9,7.1
Tryndamere,TOP,S,52.9,3.4,2.7
Garen,TOP,S,52.8,6.8,5.9
Malphite,TOP,S,52.7,6.4,16.7
Urgot,TOP,A,52.9,2.5,0.8
Kled,TOP,A,52.9,1.8,0.9
Shen,TOP,A,52.8,3.7,0.9
Poppy,TOP,A,52.8,1.2,4.9
Illaoi,TOP,A,52.8,2.5,4.6
Anivia,TOP,A,52.8,0.8,2.6
Heimerdinger,TOP,A,52.7,1.3,1.8
Olaf,TOP,A,52.7,3,3.1
Gangplank,TOP,A,52.6,5.5,6.7
Ornn,TOP,A,52.4,3.3,0.6
Sett,TOP,A,52.4,5.3,2.4
Riven,TOP,A,52.3,3.1,3.1
Cassiopeia,TOP,B,52.6,0.6,1.5
Wukong,TOP,B,52.4,0.9,1.9
Fiora,TOP,B,52.2,3.7,4.6
Irelia,TOP,B,52,4,11.7
Nasus,TOP,B,51.9,2.8,9.7
Pantheon,TOP,B,51.9,2.6,2
Tahm Kench,TOP,B,51.9,1.8,2.4
Dr. Mundo,TOP,B,51.9,5.3,3.6
Yorick,TOP,B,51.8,3.7,7.3
Zaahen,TOP,B,51.8,3.2,1.5
Aatrox,TOP,B,51.8,6.5,7.7
Cho'Gath,TOP,B,51.7,2.5,0.6
Darius,TOP,B,51.7,6.5,13.1
Jax,TOP,B,51.5,5.7,10.5
Yone,TOP,B,51.5,6.8,6.2
Camille,TOP,B,51.5,2.4,9.3
Akali,TOP,B,51.3,2.4,15.5
Locke,TOP,B,49.5,1.2,73.7
Gragas,TOP,C,51.6,2.4,0.7
Renekton,TOP,C,51.2,5.7,4
Vayne,TOP,C,51.2,3.6,11.5
Gwen,TOP,C,51.1,1.9,2.4
Vladimir,TOP,C,51,1.3,5.9
Kennen,TOP,C,50.9,1.3,0.9
Volibear,TOP,C,50.9,2.6,1.2
Sion,TOP,C,50.8,3.6,0.8
Udyr,TOP,C,50.7,0.5,1
Trundle,TOP,C,50.4,1.4,0.3
Gnar,TOP,C,50.3,4.1,1.2
Ambessa,TOP,C,50.3,4.9,5.2
Malzahar,TOP,C,50.3,0.6,9.6
Master Yi,TOP,C,50.2,0.7,13.3
Yasuo,TOP,C,50.1,3.3,16.2
Aurora,TOP,D,50.2,0.5,1.4
Ryze,TOP,D,49.9,0.7,0.5
Swain,TOP,D,49.8,0.9,2
Rumble,TOP,D,49.5,1.6,0.8
Varus,TOP,D,49.1,0.8,1.2
Jayce,TOP,D,49.1,5.5,6
K'Sante,TOP,D,48.5,3.7,2.8
Warwick,JUNGLE,S,54.1,3.2,1.8
Nasus,JUNGLE,S,54,3.9,9.7
Nocturne,JUNGLE,S,53.5,7.8,13.6
Mordekaiser,JUNGLE,S,53.9,0.7,11.4
Darius,JUNGLE,S,53.9,0.6,13.1
Shyvana,JUNGLE,S,53.8,3.6,2.8
Briar,JUNGLE,S,53.6,5,8.6
Udyr,JUNGLE,S,53.5,2.3,1
Naafiri,JUNGLE,S,52.4,6.8,28.1
Rammus,JUNGLE,A,53.3,1.6,3.2
Zyra,JUNGLE,A,53.2,0.8,2.1
Bel'Veth,JUNGLE,A,53.2,2.2,3.3
Ivern,JUNGLE,A,53.2,1,0.4
Wukong,JUNGLE,A,53.1,5.5,1.9
Aatrox,JUNGLE,A,52.9,1.4,7.7
Trundle,JUNGLE,A,52.9,0.7,0.3
Kayn,JUNGLE,A,52.8,7.2,4.9
Lillia,JUNGLE,A,52.8,2.4,1.2
Shaco,JUNGLE,A,52.6,4.6,16.8
Master Yi,JUNGLE,A,52.3,5.9,13.3
Jax,JUNGLE,A,52.3,1.9,10.5
Sylas,JUNGLE,A,51.6,8.4,18.8
Rek'Sai,JUNGLE,B,52.5,1.4,0.7
Evelynn,JUNGLE,B,52.4,2.2,1.9
Taliyah,JUNGLE,B,52.2,0.7,0.3
Volibear,JUNGLE,B,52.2,0.8,1.2
Quinn,JUNGLE,B,52.1,1.4,0.9
Kindred,JUNGLE,B,52,2.6,1.7
Nunu & Willump,JUNGLE,B,52,1.9,0.4
Talon,JUNGLE,B,52,4.4,6.2
Elise,JUNGLE,B,51.9,1.8,1
Nidalee,JUNGLE,B,51.9,2.6,1.3
Fiddlesticks,JUNGLE,B,51.9,1.9,1
Sejuani,JUNGLE,B,51.9,1.7,0.2
Ekko,JUNGLE,B,51.8,3.5,1.3
Viego,JUNGLE,B,51.8,9.7,7
Kha'Zix,JUNGLE,B,51.8,5.2,2.9
Graves,JUNGLE,B,51.8,10.5,11
Xin Zhao,JUNGLE,B,51.8,4.4,1.1
Jarvan IV,JUNGLE,B,51.6,6.5,1.2
Gwen,JUNGLE,C,51.7,0.6,2.4
Amumu,JUNGLE,C,51.6,1.9,1
Zac,JUNGLE,C,51.5,2.3,0.8
Vi,JUNGLE,C,51.5,5.6,1.3
Fizz,JUNGLE,C,51.4,0.7,6.1
Hecarim,JUNGLE,C,51.4,4.3,3.3
Gragas,JUNGLE,C,51.4,0.7,0.7
Diana,JUNGLE,C,51.4,3.5,4.3
Olaf,JUNGLE,C,51.2,0.5,3.1
